minute,mid_open,mid_close,mid_mean,spread_mean,spread_std,spread_max,relative_spread_mean,ask_depth_mean,bid_depth_mean,imbalance_1_mean,imbalance_3_mean,imbalance_5_mean,imbalance_10_mean,ofi_sum,ofi_mean,ofi_std,event_count,event_size_total,trade_volume,n_new_order,n_partial_cancel,n_full_deletion,n_execution,price_change,depth_imbalance,execution_ratio,mid_return_1m,mid_log_return_1m,hour,minute_of_hour,clock,mid_ma10
605,30.715,30.705,30.68185598141696,0.013955865272938425,0.004890331064319558,0.020000000000003126,0.00045487863540534724,66027.77096399535,59953.84715447154,0.07505354191469168,-0.014991903540071945,-0.04865945520919895,0.0011197344462657158,-26449.0,-6.143786295005807,576.6228766825299,4305,2329683,75545,2179,21,1886,219,-0.010000000000001563,-0.048212778183339355,0.050871080139372825,-0.010000000000001563,-0.00032562683452797003,10,5,10:05,30.810999999999996
606,30.705,30.725,30.72553972257251,0.013561160151323859,0.004789104758229053,0.019999999999999574,0.000441361165200978,65466.54148802018,76477.7266078184,0.11488041050975745,0.06979117553507454,0.07722152985620356,0.10870510938394289,85628.0,21.595964691046657,672.1357131831978,3965,2379204,78156,1989,32,1741,203,0.020000000000003126,0.07757400328672408,0.05119798234552333,0.020000000000003126,0.0006511476707360409,10,6,10:06,30.794
607,30.725,30.695,30.706305191654536,0.012028141678796334,0.004021928230413461,0.019999999999999574,0.00039171276441318776,76214.7869966036,71237.78893740903,-0.1000446050589256,-0.038486520964249905,-0.033970621183711566,-0.03954090483471124,-91666.0,-44.476467734109654,573.7883367519469,2061,1113561,17256,1024,13,936,88,-0.030000000000001137,-0.03375321202541656,0.04269771955361475,-0.030000000000001137,-0.000976880572638894,10,7,10:07,30.774
608,30.695,30.685000000000002,30.692960609911054,0.011728081321474383,0.0037820147546399323,0.019999999999999574,0.00038211135053388537,75858.51080050826,75501.03113087674,-0.01250398684374576,0.01019893064283106,-0.001397646418494701,0.0016400308836313866,-34072.0,-21.646759847522237,607.6228365571077,1574,839028,22804,781,8,710,75,-0.00999999999999801,-0.002361791434289431,0.04764930114358323,-0.00999999999999801,-0.0003258390383993337,10,8,10:08,30.752
609,30.685000000000002,30.695,30.694307540660425,0.01144406111384857,0.003515876987935075,0.019999999999999574,0.0003728354312552865,71285.76934450468,76820.53474618039,-0.007770260930628353,0.025030925377892463,0.03787234571714208,0.05709893968357391,44139.0,21.75406604238541,671.8438354192194,2029,1247586,18731,997,7,959,66,0.00999999999999801,0.03737022158278147,0.032528339083292265,0.00999999999999801,0.0003258390383993337,10,9,10:09,30.732999999999997
610,30.695,30.725,30.705679048171795,0.011079512478235866,0.0031040892057133764,0.019999999999999574,0.0003608305665744892,69350.43760882183,75236.41787579803,0.1348728843011564,0.06891559779266203,0.0396796145576619,0.05033352103041837,134284.0,77.93615786419036,623.5490917236675,1723,960538,16615,857,5,788,73,0.030000000000001137,0.04070895827458056,0.04236796285548462,0.030000000000001137,0.000976880572638894,10,10,10:10,30.724
611,30.725,30.765,30.746289390756303,0.011160714285714286,0.0032039470393380224,0.020000000000003126,0.0003630050867732956,73113.7599789916,81195.57720588235,0.3225425375456914,0.11048302358608449,0.05162745145658521,0.1407280259026825,149006.0,78.2594537815126,693.015330992742,1904,1124418,31574,935,17,853,99,0.03999999999999915,0.05237412961736813,0.051995798319327734,0.03999999999999915,0.0013010247403548725,10,11,10:11,30.721999999999998
612,30.765,30.775,30.772326007326008,0.01405372405372458,0.00491113904025638,0.019999999999999574,0.00045671005125879125,78605.95482295482,75167.00183150184,0.0015469670778517433,-0.05478430411226474,-0.0210392721353797,0.09630853665539213,53910.0,32.91208791208791,870.4815213494124,1638,1088734,56147,794,9,766,69,0.00999999999999801,-0.022363834748789144,0.04212454212454213,0.00999999999999801,0.000324991878063674,10,12,10:12,30.723000000000003
613,30.775,30.775,30.772572115384612,0.012900641025641665,0.0045397363010837456,0.019999999999999574,0.0004192331913056739,71542.18589743589,73796.09935897436,0.10627451166288378,-0.006200097943770995,0.01587431540440954,0.07141271965269902,10559.0,8.460737179487179,1011.5991120465063,1248,883196,37472,607,4,557,80,0.0,0.015508050460083833,0.0641025641025641,0.0,0.0,10,13,10:13,30.726
614,30.775,30.835,30.794417243214475,0.013464608834486183,0.004759054605551022,0.019999999999999574,0.00043725817069578476,74458.69691325173,86734.22511974454,0.2858411709864976,0.06649041997089881,0.07343066587044685,0.16393365968346324,286306.0,76.18573709419904,1076.5783496188817,3758,3023842,70575,1898,31,1635,194,0.060000000000002274,0.07615426317527771,0.05162320383182544,0.060000000000002274,0.0019477363729389907,10,14,10:14,30.738
